Samantha Morton,/wiki/Samantha_Morton
Nick Moran,/wiki/Nick_Moran
Kenneth More,/wiki/Kenneth_More
William Moseley,/wiki/William_Moseley_(actor)
Billy Murray,/wiki/Billy_Murray_(actor)
Carey Mulligan,/wiki/Carey_Mulligan
Sophia Myles,/wiki/Sophia_Myles
Parminder Nagra,/wiki/Parminder_Nagra
Anthony Newley,/wiki/Anthony_Newley
Bill Nighy,/wiki/Bill_Nighy
David Niven,/wiki/David_Niven
Merle Oberon,/wiki/Merle_Oberon
Sophie Okonedo,/wiki/Sophie_Okonedo
Gary Oldman,/wiki/Gary_Oldman
Laurence Olivier,/wiki/Laurence_Olivier
Clive Owen,/wiki/Clive_Owen
Cecil Parker,/wiki/Cecil_Parker
Dev Patel,/wiki/Dev_Patel
Robert Pattinson,/wiki/Robert_Pattinson
Simon Pegg,/wiki/Simon_Pegg
Alex Pettyfer,/wiki/Alex_Pettyfer
Rosamund Pike,/wiki/Rosamund_Pike
Billie Piper,/wiki/Billie_Piper
Anna Popplewell,/wiki/Anna_Popplewell
Dominic Purcell,/wiki/Dominic_Purcell
Daniel Radcliffe,/wiki/Daniel_Radcliffe
Oliver Reed,/wiki/Oliver_Reed
Joely Richardson,/wiki/Joely_Richardson
Miranda Richardson,/wiki/Miranda_Richardson
Natasha Richardson,/wiki/Natasha_Richardson
Ralph Richardson,/wiki/Ralph_Richardson
Alan Rickman,/wiki/Alan_Rickman
Tim Roth,/wiki/Tim_Roth
Margaret Rutherford,/wiki/Margaret_Rutherford
George Sanders,/wiki/George_Sanders
Peter Sellers,/wiki/Peter_Sellers
Jane Seymour,/wiki/Jane_Seymour
Robert Shaw,/wiki/Robert_Shaw_(British_actor)
Nicollette Sheridan,/wiki/Nicollette_Sheridan
Maggie Smith,/wiki/Maggie_Smith
Matt Smith,/wiki/Matt_Smith_(actor)
Terence Stamp,/wiki/Terence_Stamp
Patrick Stewart,/wiki/Patrick_Stewart
Rachel Stevens,/wiki/Rachel_Stevens
Tilda Swinton,/wiki/Tilda_Swinton
Elizabeth Taylor,/wiki/Elizabeth_Taylor
Juno Temple,/wiki/Juno_Temple
Emma Thompson,/wiki/Emma_Thompson
Kristin Scott Thomas,/wiki/Kristin_Scott_Thomas
Patrick Troughton,/wiki/Patrick_Troughton
Peter Ustinov,/wiki/Peter_Ustinov
Julie Walters,/wiki/Julie_Walters
Jack Warner,/wiki/Jack_Warner_(actor)
Naomi Watts,/wiki/Naomi_Watts
Emily Watson,/wiki/Emily_Watson
Emma Watson,/wiki/Emma_Watson
Rachel Weisz,/wiki/Rachel_Weisz
Dominic West,/wiki/Dominic_West
Ed Westwick,/wiki/Ed_Westwick
Rosie Huntington-Whiteley,/wiki/Rosie_Huntington-Whiteley
Michael Wilding,/wiki/Michael_Wilding_(actor)
Tom Wilkinson,/wiki/Tom_Wilkinson
Kate Winslet,/wiki/Kate_Winslet
Ray Winstone,/wiki/Ray_Winstone
